cid,title,cat,cat_path,page,langs,n_langs
ENPx8qi2o,2026 타이틀 매치 《오인환 vs. 장서영: 휴먼 에러》,문화관광,Culture > Cultural > Facilities,1,KOPx8qi2o:한국어|ENPx8qi2o:영어|JPPx8qi2o:일본어|CNPx8qi2o:중국어 간체|TCPx8qi2o:중국어 번체,5
ENPreqvti,2026 AECHAE Forest,문화관광,Culture > Cultural > Facilities,1,KOPreqvti:한국어|ENPreqvti:영어|JPPreqvti:일본어|CNPreqvti:중국어 간체|TCPreqvti:중국어 번체|RUPreqvti:러시아어,6
ENPoyf5m1,SPO Park Concert 2026,문화관광,Culture > Cultural > Facilities,1,KOPoyf5m1:한국어|ENPoyf5m1:영어|JPPoyf5m1:일본어|CNPoyf5m1:중국어 간체|TCPoyf5m1:중국어 번체|RUPoyf5m1:러시아어,6
ENPh6s7u3,The Color of Memory,문화관광,Culture > Cultural > Facilities,1,KOPh6s7u3:한국어|ENPh6s7u3:영어|JPPh6s7u3:일본어|CNPh6s7u3:중국어 간체|TCPh6s7u3:중국어 번체|RUPh6s7u3:러시아어,6
ENPqkbvqx,LALARECIPE × MeME : Happiness Recipe for Every Skin,문화관광,Culture > Cultural > Facilities,1,KOPqkbvqx:한국어|ENPqkbvqx:영어|JPPqkbvqx:일본어|CNPqkbvqx:중국어 간체|TCPqkbvqx:중국어 번체|RUPqkbvqx:러시아어,6
ENPzmxljt,"Painters Inspired by Nature-Kim Won, Yoo Youngkuk, Lee In-sung, Lee Jung-seop, Yim Jik-soon",문화관광,Culture > Cultural > Facilities,1,KOPzmxljt:한국어|ENPzmxljt:영어|JPPzmxljt:일본어|CNPzmxljt:중국어 간체|TCPzmxljt:중국어 번체|RUPzmxljt:러시아어,6
ENPex1iie,Pharme Seoul,문화관광,Culture > Cultural > Facilities,1,KOPex1iie:한국어|ENPex1iie:영어|JPPex1iie:일본어|CNPex1iie:중국어 간체|TCPex1iie:중국어 번체|RUPex1iie:러시아어|MLPex1iie:말레이어,7
ENP2ts0gq,Hongdae Mural Street,문화관광,Culture > Cultural > Districts,1,KOP2ts0gq:한국어|ENP2ts0gq:영어|JPP2ts0gq:일본어|CNP2ts0gq:중국어 간체|TCP2ts0gq:중국어 번체|RUP2ts0gq:러시아어|MLP2ts0gq:말레이어,7
ENPzxk4rc,SKETCH 2026 : Aesthetics of Liquidity,문화관광,Culture > Cultural > Facilities,1,KOPzxk4rc:한국어|ENPzxk4rc:영어|JPPzxk4rc:일본어|CNPzxk4rc:중국어 간체|TCPzxk4rc:중국어 번체|RUPzxk4rc:러시아어,6
ENPii0mwl,Fiber Art Special Exhibition 《Texture of Rest》,문화관광,Culture > Cultural > Facilities,1,KOPii0mwl:한국어|ENPii0mwl:영어|JPPii0mwl:일본어|CNPii0mwl:중국어 간체|TCPii0mwl:중국어 번체|RUPii0mwl:러시아어,6
