cid,title,cat,cat_path,page,langs,n_langs
KOPx8qi2o,2026 타이틀 매치 《오인환 vs. 장서영: 휴먼 에러》,문화관광,문화관광 > 전시시설,1,KOPx8qi2o:한국어|ENPx8qi2o:영어|JPPx8qi2o:일본어|CNPx8qi2o:중국어 간체|TCPx8qi2o:중국어 번체,5
KOPzmxljt,"자연을 사랑한 화가들 - 김원, 유영국, 이인성, 이중섭, 임직순",문화관광,문화관광 > 전시시설,1,KOPzmxljt:한국어|ENPzmxljt:영어|JPPzmxljt:일본어|CNPzmxljt:중국어 간체|TCPzmxljt:중국어 번체|RUPzmxljt:러시아어,6
KOPqkbvqx,LALARECIPE × MeME : Happiness Recipe for Every Skin,문화관광,문화관광 > 전시시설,1,KOPqkbvqx:한국어|ENPqkbvqx:영어|JPPqkbvqx:일본어|CNPqkbvqx:중국어 간체|TCPqkbvqx:중국어 번체|RUPqkbvqx:러시아어,6
KOPh6s7u3,The Color of Memory 메모리의 색,문화관광,문화관광 > 전시시설,1,KOPh6s7u3:한국어|ENPh6s7u3:영어|JPPh6s7u3:일본어|CNPh6s7u3:중국어 간체|TCPh6s7u3:중국어 번체|RUPh6s7u3:러시아어,6
KOPoyf5m1,2026 서울시향 파크콘서트,문화관광,문화관광 > 전시시설,1,KOPoyf5m1:한국어|ENPoyf5m1:영어|JPPoyf5m1:일본어|CNPoyf5m1:중국어 간체|TCPoyf5m1:중국어 번체|RUPoyf5m1:러시아어,6
KOPreqvti,2026 애채숲,문화관광,문화관광 > 전시시설,1,KOPreqvti:한국어|ENPreqvti:영어|JPPreqvti:일본어|CNPreqvti:중국어 간체|TCPreqvti:중국어 번체|RUPreqvti:러시아어,6
KOPii0mwl,섬유기획전 《안식의 결 Texture of Rest》,문화관광,문화관광 > 전시시설,1,KOPii0mwl:한국어|ENPii0mwl:영어|JPPii0mwl:일본어|CNPii0mwl:중국어 간체|TCPii0mwl:중국어 번체|RUPii0mwl:러시아어,6
KOPex1iie,파메서울,문화관광,문화관광 > 전시시설,1,KOPex1iie:한국어|ENPex1iie:영어|JPPex1iie:일본어|CNPex1iie:중국어 간체|TCPex1iie:중국어 번체|RUPex1iie:러시아어|MLPex1iie:말레이어,7
KOPzxk4rc,SKETCH 2026: 유동의 미학,문화관광,문화관광 > 전시시설,1,KOPzxk4rc:한국어|ENPzxk4rc:영어|JPPzxk4rc:일본어|CNPzxk4rc:중국어 간체|TCPzxk4rc:중국어 번체|RUPzxk4rc:러시아어,6
KOPfo3uv0,광나루한강공원 모두의놀이터,문화관광,문화관광 > 레저스포츠시설,1,KOPfo3uv0:한국어|ENPfo3uv0:영어|JPPfo3uv0:일본어|CNPfo3uv0:중국어 간체|TCPfo3uv0:중국어 번체|RUPfo3uv0:러시아어|MLPfo3uv0:말레이어,7
KOP3s1wvi,퐁피두센터 한화,문화관광,문화관광 > 전시시설 > 미술관/화랑,1,KOP3s1wvi:한국어|ENP3s1wvi:영어|JPP3s1wvi:일본어|CNP3s1wvi:중국어 간체|TCP3s1wvi:중국어 번체|RUP3s1wvi:러시아어|MLP3s1wvi:말레이어,7
KOP7hbgp3,사진작가 강재구 개인전 &lt; 입영전야-Soldier &gt;,문화관광,문화관광 > 전시시설,1,KOP7hbgp3:한국어|ENP7hbgp3:영어|JPP7hbgp3:일본어|CNP7hbgp3:중국어 간체|TCP7hbgp3:중국어 번체|RUP7hbgp3:러시아어,6
KOPmv93re,디뮤지엄 (D MUSEUM),문화관광,문화관광 > 전시시설 > 기타전시시설,1,KOPmv93re:한국어|ENPmv93re:영어|JPPmv93re:일본어|CNPmv93re:중국어 간체|TCPmv93re:중국어 번체|RUPmv93re:러시아어|MLPmv93re:말레이어,7
KOPa0vdy2,"예술 학교: 우리가 서로의 학교가 될 때,",문화관광,문화관광 > 전시시설,1,KOPa0vdy2:한국어|ENPa0vdy2:영어|JPPa0vdy2:일본어|CNPa0vdy2:중국어 간체|TCPa0vdy2:중국어 번체|RUPa0vdy2:러시아어,6
KOPfxnbtp,여의도 인라인스케이트장,문화관광,문화관광 > 레저스포츠시설,1,KOPfxnbtp:한국어|ENPfxnbtp:영어|JPPfxnbtp:일본어|CNPfxnbtp:중국어 간체|TCPfxnbtp:중국어 번체|RUPfxnbtp:러시아어|MLPfxnbtp:말레이어,7
KOPmg2v5t,2026 국악 플러그인(Gugak Plug in) vol.3,문화관광,문화관광 > 전시시설,1,KOPmg2v5t:한국어|ENPmg2v5t:영어|JPPmg2v5t:일본어|CNPmg2v5t:중국어 간체|TCPmg2v5t:중국어 번체|RUPmg2v5t:러시아어,6
KOPo2o028,조숙진: 지나가는 자리,문화관광,문화관광 > 전시시설,1,KOPo2o028:한국어|ENPo2o028:영어|JPPo2o028:일본어|CNPo2o028:중국어 간체|TCPo2o028:중국어 번체|RUPo2o028:러시아어,6
KOP8fufjn,"조수미 40주년, 四季의 노래 《CONTINUUM》",문화관광,문화관광 > 전시시설,1,KOP8fufjn:한국어|ENP8fufjn:영어|JPP8fufjn:일본어|CNP8fufjn:중국어 간체|TCP8fufjn:중국어 번체|RUP8fufjn:러시아어,6
KOPbqma2f,TFT 와일드 팬페스트 in 더현대 서울 (TFT Wild Fanfest in The Hyundai Seoul),문화관광,문화관광 > 전시시설,1,KOPbqma2f:한국어|ENPbqma2f:영어|JPPbqma2f:일본어|CNPbqma2f:중국어 간체|TCPbqma2f:중국어 번체|RUPbqma2f:러시아어,6
KOPc3g5o6,"서울, 세계와 노래하다",문화관광,문화관광 > 전시시설,1,KOPc3g5o6:한국어|ENPc3g5o6:영어|JPPc3g5o6:일본어|CNPc3g5o6:중국어 간체|TCPc3g5o6:중국어 번체|RUPc3g5o6:러시아어,6
KOPzy336c,"카우스: 친구, 그리고 이웃",문화관광,문화관광 > 전시시설,2,KOPzy336c:한국어|ENPzy336c:영어|JPPzy336c:일본어|CNPzy336c:중국어 간체|TCPzy336c:중국어 번체|RUPzy336c:러시아어,6
KOP5pejiz,63 스카이피크닉,문화관광,문화관광 > 랜드마크관광,2,KOP5pejiz:한국어|ENP5pejiz:영어|JPP5pejiz:일본어|CNP5pejiz:중국어 간체|TCP5pejiz:중국어 번체|RUP5pejiz:러시아어|MLP5pejiz:말레이어,7
KOPgdf9ry,파인캐릭터 2026 (FineCharacter 2026),문화관광,문화관광 > 전시시설,2,KOPgdf9ry:한국어|ENPgdf9ry:영어|JPPgdf9ry:일본어|CNPgdf9ry:중국어 간체|TCPgdf9ry:중국어 번체|RUPgdf9ry:러시아어,6
KOPgeb6on,서울시립 사진미술관 《마틴 파: We Are Martin Parr》,문화관광,문화관광 > 전시시설,2,KOPgeb6on:한국어|ENPgeb6on:영어|JPPgeb6on:일본어|CNPgeb6on:중국어 간체|TCPgeb6on:중국어 번체|RUPgeb6on:러시아어,6
KOPpm3s33,2026 국제수면치유박람회 | Sleep &amp; Wellness Festa,문화관광,문화관광 > 전시시설,2,KOPpm3s33:한국어|ENPpm3s33:영어|JPPpm3s33:일본어|CNPpm3s33:중국어 간체|TCPpm3s33:중국어 번체|RUPpm3s33:러시아어,6
